A1BG
A4GALT
AATF
ABAT
ABCA1
ABCA2
ABCA3
ABCA5
ABCA8
ABCB11
ABCB4
ABCB6
ABCB9
ABCC1
ABCC6
ABCC9
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABCG4
ABHD10
ABHD12B
ABHD13
ABHD14A
ABHD14B
ABHD15
ABHD3
ABHD6
ABLIM1
ABO
ABR
ABTB1
ABTB2
ACACA
ACACB
ACAD11
ACAD8
ACADL
ACADS
ACAP1
ACCS
ACE
ACE2
ACIN1
ACOT1
ACOT11
ACOT13
ACOT2
ACOT7
ACOX3
ACOXL
ACP5
ACPL2
ACPP
ACSF2
ACSL1
ACSL6
ACSM4
ACSS3
ACTA1
ACTA2
ACTC1
ACTL8
ACTN1
ACTN2
ACTN4
ACTR10
ACTR1B
ACTR2
ACTR3B
ACTR6
ACVR1B
ACVR2A
ACVRL1
ADAM11
ADAM12
ADAM19
ADAM22
ADAM23
ADAM28
ADAM33
ADAM9
ADAMTS1
ADAMTS12
ADAMTS13
ADAMTS15
ADAMTS16
ADAMTS17
ADAMTS18
ADAMTS2
ADAMTS20
ADAMTS3
ADAMTS4
ADAMTS5
ADAMTS6
ADAMTS8
ADAMTS9
ADAMTSL4
ADC
ADCK1
ADCK3
ADCY1
ADCY10
ADCY2
ADCY5
ADCY6
ADCY7
ADCY8
ADCYAP1R1
ADD2
ADH4
ADM
ADM2
ADORA1
ADORA2A
ADPRHL1
ADRA2A
ADRA2C
ADRM1
ADSSL1
AES
AFAP1
AFAP1L1
AFAP1L2
AFF2
AFG3L2
AGAP4
AGAP5
AGAP6
AGAP7
AGAP8
AGBL3
AGL
AGMAT
AGPAT3
AGPAT4
AGPAT5
AGPAT9
AGXT2L1
AHNAK
AHR
AHSA2
AIF1L
AIM1
AIM1L
AJAP1
AK3
AK4
AK5
AK7
AKAP1
AKAP12
AKAP17A
AKAP2
AKAP4
AKAP6
AKAP8
AKNA
AKR1B15
AKR1C1
AKR1C3
AKTIP
ALAD
ALCAM
ALDH1A1
ALDH1A2
ALDH1A3
ALDH1L2
ALDH2
ALDH3A2
ALDH4A1
ALDH6A1
ALDOC
ALG1
ALG3
ALK
ALKBH7
ALKBH8
ALMS1
ALOX12
ALOX5
ALPK2
ALPL
ALYREF
AMACR
AMHR2
AMIGO1
AMIGO2
AMIGO3
AMMECR1
AMN1
AMOT
AMOTL2
AMPH
AMT
ANAPC10
ANGPT1
ANGPT2
ANGPTL2
ANGPTL4
ANK1
ANK2
ANK3
ANKDD1A
ANKFY1
ANKHD1-EIF4EBP3
ANKMY2
ANKRA2
ANKRD1
ANKRD11
ANKRD13A
ANKRD13B
ANKRD16
ANKRD18A
ANKRD18B
ANKRD20A1
ANKRD20A3
ANKRD24
ANKRD28
ANKRD33B
ANKRD35
ANKRD36
ANKRD37
ANKRD42
ANKRD44
ANKRD45
ANKRD46
ANKRD5
ANKRD50
ANKRD55
ANKRD6
ANKS1B
ANKS4B
ANO1
ANO3
ANO4
ANO5
ANP32B
ANP32E
ANPEP
ANTXR2
ANXA1
ANXA2
ANXA3
ANXA6
ANXA7
AOC2
AOX1
AP1M2
AP1S2
AP1S3
AP3B2
AP3D1
AP5Z1
APAF1
APBB1
APCDD1
APCDD1L
APEX2
APH1B
APLF
APLNR
APLP2
APOB
APOBEC3B
APOBEC3C
APOBEC3D
APOBEC3F
APOBEC3G
APOC1
APOL3
APOL6
APOLD1
APPBP2
AQP1
AQPEP
AR
ARAP2
ARC
ARF4
ARFGAP3
ARFRP1
ARG2
ARHGAP18
ARHGAP20
ARHGAP22
ARHGAP23
ARHGAP24
ARHGAP27
ARHGAP28
ARHGAP29
ARHGAP31
ARHGAP35
ARHGAP40
ARHGAP42
ARHGAP44
ARHGAP8
ARHGDIB
ARHGEF10L
ARHGEF17
ARHGEF18
ARHGEF19
ARHGEF25
ARHGEF3
ARHGEF35
ARHGEF5
ARHGEF6
ARID1A
ARID5A
ARID5B
ARL10
ARL15
ARL17B
ARL2BP
ARL3
ARL4A
ARL4C
ARL4D
ARL5B
ARL6
ARL6IP1
ARL6IP5
ARL6IP6
ARMC2
ARMC4
ARMC6
ARMC9
ARMCX4
ARMCX5
ARMCX5-GPRASP2
ARNT2
ARNTL2
ARPC3
ARPC5
ARPC5L
ARRB1
ARRB2
ARRDC1
ARRDC3
ARRDC4
ARSA
ARSD
ARSE
ARSG
ARSK
ART4
ART5
ARV1
ARVCF
ASAH2B
ASAP2
ASB5
ASB6
ASH1L
ASH2L
ASNS
ASRGL1
ASS1
ASTN1
ASTN2
ASXL3
ATAD3A
ATAD3B
ATF3
ATF5
ATF6
ATG12
ATG16L2
ATG4A
ATG5
ATIC
ATL2
ATOH8
ATP10A
ATP11A
ATP11B
ATP11C
ATP12A
ATP1A2
ATP1A3
ATP1B2
ATP1B3
ATP2A3
ATP2B1
ATP2B4
ATP2C2
ATP4B
ATP5J2-PTCD1
ATP6AP2
ATP6V0D2
ATP6V0E2
ATP6V1B2
ATP6V1F
ATP7A
ATP7B
ATP8A1
ATP8A2
ATP8B1
ATP8B3
ATP8B4
ATP9A
ATPAF2
ATRNL1
ATXN1
ATXN7L1
ATXN7L2
AUTS2
AVPI1
AXIN1
AXIN2
AZI1
B2M
B3GALNT1
B3GALT1
B3GALT5
B3GALTL
B3GAT1
B3GNT1
B3GNT2
B3GNT5
B3GNT7
B3GNT8
B3GNT9
B4GALT4
B4GALT5
B7H6
BAALC
BACE1
BACH2
BAG1
BAG3
BAHD1
BAI1
BAI2
BAIAP2L1
BAIAP3
BARX1
